id,x,y,plot,species,height_cm,elevation,slope,twi,distance_m,mpb_class,fire_class
198,524201.14,5446927.8,3,Pinus_contorta,20,1281,23.5,4.72,103.4,0,3
199,524233.52,5446906.61,3,Pinus_contorta,20,1272,23.7,7.36,106.8,0,3
200,524236.38,5446906.45,3,Pinus_contorta,20,1272,23.7,7.36,109.1,0,3
201,524261.46,5446965.45,3,Pinus_contorta,13,1240,28.1,5.95,87.9,0,2
202,524187.91,5446992.09,3,Pinus_contorta,13,1265,22.9,1.59,55.8,0,3
203,524250.96,5446910.68,3,Pinus_contorta,13,1260,22.3,5.22,125.0,0,3
204,524176.45,5446921.05,3,Pinus_contorta,13,1290,22.7,5.53,81.8,0,3
205,524169.28,5446951.29,3,Pinus_contorta,13,1284,22.3,5.35,104.5,0,3
206,524165.95,5446887.16,3,Pinus_contorta,13,1301,24.7,4.85,8.5,0,2
207,524178.78,5446889.51,3,Pinus_contorta,13,1301,24.7,4.85,10.6,0,2
208,524207.17,5446918.25,3,Pinus_contorta,25,1272,24.7,5.46,98.8,0,3
209,524173.57,5446947.43,3,Pinus_contorta,25,1290,22.7,5.53,104.5,0,3
210,524178.78,5446889.51,3,Pinus_contorta,25,1301,24.7,4.85,10.6,0,2
211,524207.17,5446918.25,3,Pinus_contorta,25,1272,24.7,5.46,98.8,0,3
212,524166.42,5446918.86,3,Pinus_contorta,25,1290,22.7,5.53,14.4,0,2
213,524170.95,5446892.5,3,Pinus_contorta,25,1301,24.7,4.85,10.1,0,2
214,524166.37,5446966.24,3,Pinus_contorta,25,1284,22.3,5.35,23.2,0,2
215,524166.11,5446893.56,3,Pinus_contorta,25,1301,24.7,4.85,9.7,0,2
216,524247.02,5446909.94,3,Pinus_contorta,10,1260,22.3,5.22,121.6,0,3
217,524165.84,5446895.41,3,Pinus_contorta,10,1301,24.7,4.85,9.9,0,2
218,524175.79,5446992.49,3,Pinus_contorta,10,1276,22.0,1.58,52.9,0,3
219,524175.26,5446925.95,3,Pinus_contorta,10,1290,22.7,5.53,85.2,0,3
220,524237.07,5447026.52,3,Pinus_contorta,33,1235,23.6,1.59,46.4,0,3
221,524167.3,5446902.87,3,Pinus_contorta,20,1301,24.7,4.85,11.5,0,2
222,524212.36,5446909.25,3,Pinus_contorta,20,1284,24.2,6.29,93.2,0,3
223,524170.44,5446936.03,3,Pinus_contorta,20,1290,22.7,5.53,90.9,0,3
224,524168.96,5446889.67,3,Pinus_contorta,20,1301,24.7,4.85,9.2,0,2
225,524165.76,5446951.64,3,Pinus_contorta,20,1284,22.3,5.35,37.0,0,3
226,524271.52,5446911.13,3,Pinus_contorta,15,1250,21.0,5.84,28.6,0,2
227,524317.82,5446885.57,3,Pinus_contorta,15,1240,19.9,6.07,65.1,0,4
228,524317.92,5446887.32,3,Pinus_contorta,15,1230,21.0,5.85,65.1,0,4
229,524205.5,5446916.63,3,Pinus_contorta,15,1284,24.2,6.29,95.4,0,3
230,524213.63,5446907.98,3,Pinus_contorta,15,1284,24.2,6.29,93.2,0,3
231,524266.91,5446894.43,3,Pinus_contorta,15,1250,21.0,5.84,25.9,0,2
232,524358.93,5446993.92,3,Pinus_contorta,13,1188,20.2,4.42,11.9,0,2
233,524173.09,5446924.84,3,Pinus_contorta,13,1290,22.7,5.53,45.8,0,2
234,524174.52,5446924.36,3,Pinus_contorta,13,1290,22.7,5.53,45.8,0,2
235,524213.63,5446907.98,3,Pinus_contorta,42,1284,24.2,6.29,93.2,0,3
236,524211.4,5446913.06,3,Pinus_contorta,42,1284,24.2,6.29,96.6,0,3
237,524304.59,5446893.48,3,Pinus_contorta,42,1241,21.1,4.67,61.1,0,4
238,524317.5,5446989.16,3,Pinus_contorta,42,1203,19.9,4.78,33.0,0,3
239,524327.5,5446889.73,3,Pinus_contorta,42,1224,20.8,5.83,65.5,0,4
240,524172.32,5446943.28,3,Pinus_contorta,42,1290,22.7,5.53,98.8,0,3
241,524307.13,5446885.97,3,Pinus_contorta,42,1240,19.9,6.07,61.1,0,4
242,524167.14,5446904.73,3,Pinus_contorta,20,1301,24.7,4.85,11.9,0,2
243,524170.6,5446897.69,3,Pinus_contorta,20,1301,24.7,4.85,11.0,0,2
244,524170.6,5446897.69,3,Pinus_contorta,28,1301,24.7,4.85,11.0,0,2
245,524276.91,5446906.98,3,Pinus_contorta,28,1250,21.0,5.84,29.2,0,2
246,524166.29,5446928.25,3,Pinus_contorta,28,1290,22.7,5.53,45.2,0,2
247,524200.74,5446932.38,3,Pinus_contorta,28,1281,23.5,4.72,107.9,0,3
248,524165.76,5446911.18,3,Pinus_contorta,28,1301,24.7,4.85,12.8,0,2
249,524169.81,5446897.53,3,Pinus_contorta,28,1301,24.7,4.85,10.8,0,2
250,524310.97,5446890.94,3,Pinus_contorta,28,1230,21.0,5.85,63.1,0,4
251,524181.19,5446951.9,3,Pinus_contorta,28,1284,22.3,5.35,62.8,0,2
252,524333.98,5446885.39,3,Pinus_contorta,28,1233,19.4,6.05,66.8,0,4
253,524172.51,5446890.68,3,Pinus_contorta,26,1301,24.7,4.85,9.9,0,2
